ID,official_name,nahuatl,type,subchapter
ID040,Iztac-quahuitl,Iztac-quahuitl,plant,
ID041,Teo-iztaquilitl,Teo-iztaquilitl,plant,teo-iztac-quilitl 5f; 7b; 7h; teo-iztacuilitl 9b; 9e
ID042,Izqui-xochitl,Izqui-xochitl,plant,8l; 9d; 9f
ID043,Tlaco-izqui-xochitl,Tlaco-izqui-xochitl,plant,5e; 8d; 8l
ID044,Quauh-izqui-xochitl,Quauh-izqui-xochitl,plant,9c
ID045,Itzquin-patli,Itzquin-patli,plant,itzcuinpatli 7b; 8f; itzcuin-patli 8j; itzcuin-patli 8k
ID046,Ocelo-xochitI,Ocelo-xochitI,plant,
ID047,Ocotl,Ocotl,plant,8l
ID048,Oco-xochitl,Oco-xochitl,plant,2b; 10f
ID049,Iztac oco-xochitl,Iztac oco-xochitl,plant,1a
ID050,Oxitl,Oxitl,plant,
ID051,Oyametl,Oyametl,plant,8l
ID052,Yamanqui patli,Yamanqui patli,plant,yamanqui-patli 9d
ID053,Te-xochitl yamanqui,Te-xochitl yamanqui,plant,yamanqui te-xochitl 8h
